cif,FundID,cust_rlv,fund_rlv
1000050437,AL003,4,3
1000050485,FD028,5,4
1000050485,FD049,5,4
1000051053,AL003,4,3
1000051053,AL058,4,4
1000051053,06017,4,4
1000051110,07024,4,4
1000051160,ES014,2,2
1000051214,02007,2,3
1000051234,LM042,5,4
1000051269,PT022,4,4
1000051294,NN025,3,3
1000051413,02007,4,3
1000051498,FD060,5,5
1000051649,09014,5,5
1000051649,UB047,5,5
1000051649,11015,5,3
1000051649,10045,5,3
1000051649,07021,5,4
1000051649,02024,5,5
1000051664,RB007,4,4
1000051808,01018,4,4
1000052456,02007,4,3
1000052508,03026,4,4
1000052508,07042,4,5
1000052629,AL003,4,3
1000052675,10019,4,3
1000052675,06017,4,4
1000052675,IV022,4,3
1000052675,FC016,4,3
1000052675,01007,4,3
1000052675,02005,4,3
1000052675,01028,4,5
1000052675,AB004,4,4
1000052871,AL003,5,3
1000052871,PI153,5,3
1000052871,06012,5,3
1000053147,AL003,4,3
1000053147,02007,4,3
1000053147,06019,4,4
1000053652,JA026,5,4
1000053652,04015,5,4
1000053763,03028,5,5
1000053763,03034,5,5
1000053763,03029,5,5
1000053797,AL003,5,3
1000053797,PI153,5,3
1000053839,06022,5,4
1000053839,06017,5,4
1000054206,FD060,5,5
1000054206,UB047,5,5
1000054248,FD060,5,5
1000054253,06028,5,5
1000054509,05005,5,4
1000054509,02029,5,3
1000054638,02009,5,5
1000054686,AL003,4,3
1000054712,FD083,4,3
1000054765,FC016,4,3
1000054766,09006,4,4
1000054766,AL003,4,3
1000054957,NN025,3,3
1000055122,FD060,5,5
1000055122,06030,5,5
1000055122,SC086,5,4
1000055160,NN025,5,3
1000055160,AL003,5,3
1000055167,04002,4,2
1000055225,02007,4,3
1000055239,UB047,5,5
1000055247,SC120,5,5
1000055297,AL003,3,3
1000055318,03034,5,5
1000055318,FD059,5,5
1000055318,LM042,5,4
1000055318,03029,5,5
1000055318,03026,5,4
1000055318,06025,5,5
1000055318,FD006,5,3
1000055318,01015,5,4
1000055318,06028,5,5
1000055318,03031,5,5
1000055318,06017,5,4
1000055318,01017,5,4
1000055318,FD063,5,5
1000055318,03033,5,5
1000055365,03020,4,4
1000055392,02007,3,3
1000055543,JA026,4,4
1000055558,02007,3,3
1000055886,SC086,5,4
1000055886,07079,5,5
1000055895,FD041,4,4
1000055895,02007,4,3
1000055895,FD017,4,4
1000055895,06017,4,4
1000055930,AL003,5,3
1000055983,07026,4,4
